NC_009144.2	chr1
NC_009145.2	chr2
NC_009146.2	chr3
NC_009147.2	chr4
NC_009148.2	chr5
NC_009149.2	chr6
NC_009150.2	chr7
NC_009151.2	chr8
NC_009152.2	chr9
NC_009153.2	chr10
NC_009154.2	chr11
NC_009155.2	chr12
NC_009156.2	chr13
NC_009157.2	chr14
NC_009158.2	chr15
NC_009159.2	chr16
NC_009160.2	chr17
NC_009161.2	chr18
NC_009162.2	chr19
NC_009163.2	chr20
NC_009164.2	chr21
NC_009165.2	chr22
NC_009166.2	chr23
NC_009167.2	chr24
NC_009168.2	chr25
NC_009169.2	chr26
NC_009170.2	chr27
NC_009171.2	chr28
NC_009172.2	chr29
NC_009173.2	chr30
NC_009174.2	chr31
NC_009175.2	chrX
NW_001867633.1	chrUn
NW_001867776.1	chrUn
NW_001868271.1	chrUn
NW_001868601.1	chrUn
NW_001869107.1	chrUn
NW_001869250.1	chrUn
NW_001869514.1	chrUn
NW_001869558.1	chrUn
NW_001869657.1	chrUn
NW_001869668.1	chrUn
NW_001869844.1	chrUn
NW_001869877.1	chrUn
NW_001869899.1	chrUn
NW_001869932.1	chrUn
NW_001870229.1	chrUn
NW_001870284.1	chrUn
NW_001870306.1	chrUn
NW_001870350.1	chrUn
NW_001870361.1	chrUn
NW_001870372.1	chrUn
NW_001870394.1	chrUn
NW_001870449.1	chrUn
NW_001870482.1	chrUn
NW_001870504.1	chrUn
NW_001870548.1	chrUn
NW_001870581.1	chrUn
NW_001870680.1	chrUn
NW_001870713.1	chrUn
NW_001870746.1	chrUn
NW_001870768.1	chrUn
NW_001870779.1	chrUn
NW_001870889.1	chrUn
NW_001870900.1	chrUn
NW_001870944.1	chrUn
NW_001870955.1	chrUn
NW_001870977.1	chrUn
NW_001871010.1	chrUn
NW_001871021.1	chrUn
NW_001871054.1	chrUn
NW_001871065.1	chrUn
NW_001871087.1	chrUn
NW_001871098.1	chrUn
NW_001871109.1	chrUn
NW_001871142.1	chrUn
NW_001871153.1	chrUn
NW_001871241.1	chrUn
NW_001871274.1	chrUn
NW_001871351.1	chrUn
NW_001871428.1	chrUn
NW_001871439.1	chrUn
NW_001871461.1	chrUn
NW_001871516.1	chrUn
NW_001871538.1	chrUn
NW_001871549.1	chrUn
NW_001871593.1	chrUn
NW_001871615.1	chrUn
NW_001871659.1	chrUn
NW_001871681.1	chrUn
NW_001871703.1	chrUn
NW_001871714.1	chrUn
NW_001871747.1	chrUn
NW_001871769.1	chrUn
NW_001871813.1	chrUn
NW_001871824.1	chrUn
NW_001871879.1	chrUn
NW_001871890.1	chrUn
NW_001871967.1	chrUn
NW_001871989.1	chrUn
NW_001872000.1	chrUn
NW_001872011.1	chrUn
NW_001872033.1	chrUn
NW_001872044.1	chrUn
NW_001872055.1	chrUn
NW_001872066.1	chrUn
NW_001872077.1	chrUn
NW_001872088.1	chrUn
NW_001872121.1	chrUn
NW_001872176.1	chrUn
NW_001872187.1	chrUn
NW_001872308.1	chrUn
NW_001872341.1	chrUn
NW_001872363.1	chrUn
NW_001872374.1	chrUn
NW_001872396.1	chrUn
NW_001872407.1	chrUn
NW_001872418.1	chrUn
NW_001872440.1	chrUn
NW_001872473.1	chrUn
NW_001872506.1	chrUn
NW_001872517.1	chrUn
NW_001872528.1	chrUn
NW_001872550.1	chrUn
NW_001872594.1	chrUn
NW_001872616.1	chrUn
NW_001872660.1	chrUn
NW_001872671.1	chrUn
NW_001872682.1	chrUn
NW_001872726.1	chrUn
NW_001872759.1	chrUn
NW_001872781.1	chrUn
NW_001872825.1	chrUn
NW_001872836.1	chrUn
NW_001872847.1	chrUn
NW_001872858.1	chrUn
NW_001872869.1	chrUn
NW_001872891.1	chrUn
NW_001872946.1	chrUn
NW_001872957.1	chrUn
NW_001872979.1	chrUn
NW_001872990.1	chrUn
NW_001873012.1	chrUn
NW_001873045.1	chrUn
NW_001873067.1	chrUn
NW_001873111.1	chrUn
NW_001873166.1	chrUn
NW_001873177.1	chrUn
NW_001873188.1	chrUn
NW_001873199.1	chrUn
NW_001873287.1	chrUn
NW_001873298.1	chrUn
NW_001873320.1	chrUn
NW_001873353.1	chrUn
NW_001873386.1	chrUn
NW_001873419.1	chrUn
NW_001873430.1	chrUn
NW_001873452.1	chrUn
NW_001873463.1	chrUn
NW_001873496.1	chrUn
NW_001873518.1	chrUn
NW_001873529.1	chrUn
NW_001873551.1	chrUn
NW_001873584.1	chrUn
NW_001873617.1	chrUn
NW_001873683.1	chrUn
NW_001873694.1	chrUn
NW_001873716.1	chrUn
NW_001873738.1	chrUn
NW_001873749.1	chrUn
NW_001873815.1	chrUn
NW_001873837.1	chrUn
NW_001873848.1	chrUn
NW_001873870.1	chrUn
NW_001873881.1	chrUn
NW_001873903.1	chrUn
NW_001873914.1	chrUn
NW_001873925.1	chrUn
NW_001873947.1	chrUn
NW_001874002.1	chrUn
NW_001874013.1	chrUn
NW_001874068.1	chrUn
NW_001874090.1	chrUn
NW_001874112.1	chrUn
NW_001874134.1	chrUn
NW_001874145.1	chrUn
NW_001874156.1	chrUn
NW_001874178.1	chrUn
NW_001874222.1	chrUn
NW_001874244.1	chrUn
NW_001874255.1	chrUn
NW_001874266.1	chrUn
NW_001874343.1	chrUn
NW_001874354.1	chrUn
NW_001874387.1	chrUn
NW_001874409.1	chrUn
NW_001874420.1	chrUn
NW_001874431.1	chrUn
NW_001874442.1	chrUn
NW_001874464.1	chrUn
NW_001874486.1	chrUn
